,report,tokens,similarity,scaled_similarity,labels
0,"Malik arrived with a defiant attitude, refusing to make eye contact or engage in conversation. He slouched in his chair, arms crossed, muttering that this was a waste of time. ","['malik', 'arrived', 'defiant', 'attitude', 'refusing', 'eye', 'contact', 'engage', 'conversation', 'slouched', 'chair', 'arms', 'crossed', 'muttering', 'waste', 'time']","[0.6898254815175247, 0.6400370527862798, 0.6781458528634217, 0.6521840784568407, 0.6623732037304871, 0.6416021561302895, 0.681120425280032]","[0.8356694281140026, 0.7752375774866034, 0.7892995342222193, 0.7715537589311041, 0.7603208094177013, 0.767439908058336, 0.8191097599692239]","['Presentation', 'Boundaries', 'Activities']"
1," I gave Malik space while casually chatting about football. That got a glimmer of interest. He mentioned his favorite team and position, but quickly shut down again. ","[' ', 'gave', 'malik', 'space', 'casually', 'chatting', 'football', 'got', 'glimmer', 'interest', 'mentioned', 'favorite', 'team', 'position', 'quickly', 'shut']","[0.642133308285252, 0.6391449475194432, 0.7102435185741189, 0.6027664112135194, 0.6317005526094542, 0.6774228247496172, 0.6603984150496703]","[0.786706525027205, 0.7743051006462115, 0.8234021903775889, 0.7237703047349353, 0.7289771373453298, 0.8036182325851385, 0.7981136883416037]","['Activities', 'Strenghts', 'Boundaries']"
2," Suggesting a kickabout, Malik perked up slightly. On the pitch, he came alive, showcasing impressive skills and intensity. However, when I played defense, Malik got easily frustrated and lashed out verbally.","[' ', 'suggesting', 'kickabout', 'malik', 'perked', 'slightly', 'pitch', 'came', 'alive', 'showcasing', 'impressive', 'skills', 'intensity', 'played', 'defense', 'malik', 'got', 'easily', 'frustrated', 'lashed', 'verbally']","[0.6660213186839072, 0.6416762240568954, 0.6957320045163631, 0.6740980456605733, 0.6792825751884288, 0.714864660072659, 0.6693861948296133]","[0.8112310173876055, 0.7769509282582054, 0.807984210183455, 0.7927430441917802, 0.7776001046385899, 0.8414339105556277, 0.8072203370660823]","['Strenghts', 'Presentation', 'Activities']"
3," During lunch, Malik sat alone, scrolling his phone. Attempts to engage him were met with grunts and shrugs. He wolfed down his food and immediately asked to go for a smoke, which I had to deny.","[' ', 'lunch', 'malik', 'sat', 'scrolling', 'phone', 'attempts', 'engage', 'met', 'grunts', 'shrugs', 'wolfed', 'food', 'immediately', 'asked', 'smoke', 'deny']","[0.46216095285234093, 0.3646988450169212, 0.4519718949474101, 0.3927204859751435, 0.37759562950762277, 0.34062590273730253, 0.40435471709312987]","[0.6019389122273469, 0.487439139830973, 0.5489975512796345, 0.5206704740953927, 0.4693131992575804, 0.4634585199432812, 0.538683654173416]",[]
4," In the afternoon, I introduced Malik to the bike maintenance station, thinking the hands-on task might appeal to him. He was initially dismissive but eventually got stuck in. Showing him how to change a tire, Malik paid close attention and then did the next one himself.","[' ', 'afternoon', 'introduced', 'malik', 'bike', 'maintenance', 'station', 'thinking', 'hands', 'task', 'appeal', 'initially', 'dismissive', 'eventually', 'got', 'stuck', 'showing', 'change', 'tire', 'malik', 'paid', 'close', 'attention']","[0.7355582163480185, 0.7256799481404275, 0.7512048125312465, 0.7102655584417875, 0.717847932817899, 0.7179567066759998, 0.7591808840748566]","[0.8826206847173491, 0.8647561796410673, 0.8669221440118929, 0.827714518702327, 0.8170091507664273, 0.844556830081683, 0.8982026165946702]","['Boundaries', 'Presentation', 'Activities']"
5," As the day ended, Malik's mood seemed to have lifted a bit. I praised his football skills and focus during the bike task. He just nodded, but it felt like a small step in the right direction. Building trust will be crucial moving forward.","[' ', 'day', 'ended', 'malik', 'mood', 'lifted', 'bit', 'praised', 'football', 'skills', 'focus', 'bike', 'task', 'nodded', 'felt', 'like', 'small', 'step', 'right', 'direction', 'building', 'trust', 'crucial', 'moving', 'forward']","[0.6702150166971151, 0.7056479431025644, 0.7650460459244666, 0.6806531769361963, 0.7163795268181515, 0.7295632488944953, 0.712629178619988]","[0.8155364540133587, 0.8438176408174399, 0.8816279742560497, 0.7990814011505647, 0.8155086206706239, 0.8562792592601323, 0.851035236053268]","['Activities', 'Strenghts', 'Boundaries']"
6,"Grey skies and a persistent drizzle set a gloomy tone as Malik arrived, hood up and headphones in. He brushed past me without a word and slumped into a chair.","['grey', 'skies', 'persistent', 'drizzle', 'set', 'gloomy', 'tone', 'malik', 'arrived', 'hood', 'headphones', 'brushed', 'past', 'word', 'slumped', 'chair']","[0.41579697215452055, 0.43713302450889935, 0.4420229540666312, 0.42127335640993363, 0.4023914874026314, 0.44051751053982147, 0.4315965225094081]","[0.5543395905824825, 0.5631512753153485, 0.5384271467827672, 0.5482791179812355, 0.49465151238700344, 0.5643475078901352, 0.5662857493093321]",[]
7," Sensing Malik's dark mood, I suggested an indoor football drill session. He resisted at first, but eventually joined in. Despite the confined space, Malik went full throttle, playing aggressively. When he missed a shot, he punched the wall in frustration.","[' ', 'sensing', 'malik', 'dark', 'mood', 'suggested', 'indoor', 'football', 'drill', 'session', 'resisted', 'eventually', 'joined', 'despite', 'confined', 'space', 'malik', 'went', 'throttle', 'playing', 'aggressively', 'missed', 'shot', 'punched', 'wall', 'frustration']","[0.6522244346527662, 0.6395269227365379, 0.6576283618688339, 0.65864481268218, 0.6530945643023707, 0.6586893806808737, 0.6604214309310172]","[0.797066523510874, 0.774704361873317, 0.7675004119163836, 0.777800840494264, 0.7508391825976045, 0.7846977421212051, 0.7981370086222116]","['Boundaries', 'Presentation', 'Strenghts']"
8," We paused for a cooldown and I gently probed what was bothering him. Malik shut me down, saying everything was stupid. I acknowledged his feelings without judgment and offered some deep breathing exercises. Malik scoffed but begrudgingly participated.","[' ', 'paused', 'cooldown', 'gently', 'probed', 'bothering', 'malik', 'shut', 'saying', 'stupid', 'acknowledged', 'feelings', 'judgment', 'offered', 'deep', 'breathing', 'exercises', 'malik', 'scoffed', 'begrudgingly', 'participated']","[0.6995989002129086, 0.6815104288964584, 0.718948722646107, 0.7510902575628812, 0.7406153924083508, 0.6881521776171983, 0.740109680362994]","[0.8457032537918177, 0.8185878010008499, 0.8326511676678717, 0.8671891691531491, 0.8402746906282474, 0.8144547140068304, 0.8788791844224134]","['Boundaries', 'Triggers', 'Presentation']"
9," At lunch, Malik was sullen and sarcastic. He complained about the food, the weather, the program - everything. I listened patiently and validated his complaints where appropriate, while also encouraging him to redirect his energy. In the afternoon, I set up a circuit training session, thinking the variety might help Malik stay engaged. He initially put in minimal effort, but with encouragement, he began to apply himself. Malik even cracked a smile during a particularly challenging set of burpees.","[' ', 'lunch', 'malik', 'sullen', 'sarcastic', 'complained', 'food', 'weather', 'program', 'listened', 'patiently', 'validated', 'complaints', 'appropriate', 'encouraging', 'redirect', 'energy', 'afternoon', 'set', 'circuit', 'training', 'session', 'thinking', 'variety', 'help', 'malik', 'stay', 'engaged', 'initially', 'minimal', 'effort', 'encouragement', 'began', 'apply', 'malik', 'cracked', 'smile', 'particularly', 'challenging', 'set', 'burpees']","[0.8498911967356787, 0.8233113610674717, 0.8421251178663597, 0.7993994708623948, 0.8416202974815651, 0.8096941771328017, 0.8581637254301236]","[1.0, 0.9668058309922228, 0.9635218138549003, 0.9139008253222742, 0.9434892647393504, 0.9372102646874055, 0.9984945672257686]","['Presentation', 'Boundaries', 'Goals']"
