report	labels_above_90	labels_above_95
Malik arrived with a defiant attitude, refusing to make eye contact or engage in conversation.	[]	[]
He slouched in his chair, arms crossed, muttering that this was a waste of time.\n I gave Malik space while casually chatting about football.	[]	[]
That got a glimmer of interest.	[]	[]
He mentioned his favorite team and position, but quickly shut down again.\n Suggesting a kickabout, Malik perked up slightly.	['Strenghts']	[]
On the pitch, he came alive, showcasing impressive skills and intensity.	['Goals']	[]
However, when I played defense, Malik got easily frustrated and lashed out verbally.\n During lunch, Malik sat alone, scrolling his phone.	['Goals']	[]
Attempts to engage him were met with grunts and shrugs.	[]	[]
He wolfed down his food and immediately asked to go for a smoke, which I had to deny.\n In the afternoon, I introduced Malik to the bike maintenance station, thinking the hands-on task might appeal to him.	[]	[]
He was initially dismissive but eventually got stuck in.	[]	[]
Showing him how to change a tire, Malik paid close attention and then did the next one himself.\n As the day ended, Malik's mood seemed to have lifted a bit.	['Goals']	[]
I praised his football skills and focus during the bike task.	[]	[]
He just nodded, but it felt like a small step in the right direction.	[]	[]
Building trust will be crucial moving forward.	['Restorative']	[]
Grey skies and a persistent drizzle set a gloomy tone as Malik arrived, hood up and headphones in.	[]	[]
He brushed past me without a word and slumped into a chair.\n Sensing Malik's dark mood, I suggested an indoor football drill session.	[]	[]
He resisted at first, but eventually joined in.	[]	[]
Despite the confined space, Malik went full throttle, playing aggressively.	[]	[]
When he missed a shot, he punched the wall in frustration.\n We paused for a cooldown and I gently probed what was bothering him.	['Goals']	[]
Malik shut me down, saying everything was stupid.	[]	[]
I acknowledged his feelings without judgment and offered some deep breathing exercises.	['Activities', 'Restorative']	[]
Malik scoffed but begrudgingly participated.\n At lunch, Malik was sullen and sarcastic.	[]	[]
He complained about the food, the weather, the program - everything.	['Activities']	[]
I listened patiently and validated his complaints where appropriate, while also encouraging him to redirect his energy.	[]	[]
In the afternoon, I set up a circuit training session, thinking the variety might help Malik stay engaged.	['Restorative']	[]
He initially put in minimal effort, but with encouragement, he began to apply himself.	[]	[]
Malik even cracked a smile during a particularly challenging set of burpees.\n Wrapping up, I noticed Malik's knuckles were bruised from punching the wall.	[]	[]
We talked about healthier ways to release anger, like exercise or deep breathing.	['Activities', 'Restorative']	['Restorative']
Malik was skeptical but agreed to try counting to ten next time he felt overwhelmed.	['Strenghts']	[]
A small victory on a challenging day.	['Presentation', 'Goals', 'Triggers', 'Restorative', 'Boundaries']	['Goals', 'Boundaries']
Autumn leaves crunched underfoot as Malik arrived, football in hand.	['Goals']	[]
He was more talkative than usual, excited about his team's weekend win.	[]	[]
I seized on his good mood and suggested some football drills.\n On the pitch, Malik's skills were on full display.	[]	[]
His footwork and ball control were excellent.	['Goals']	['Goals']
I praised his technique and he flashed a genuine smile.	[]	[]
However, when I gave constructive feedback on his teamwork, Malik's demeanor shifted.	[]	[]
He argued it wasn't his fault others weren't up to his level.\n We took a water break and I gently pointed out that even top players rely on their teammates.	['Goals', 'Restorative']	['Goals']
